code,title,prerequisite,prerequisite_link,dept_link
POLS 3435,Politics and Governance of Europe and the European Union,POLS 1160,https://catalog.northeastern.edu/search/?P=POLS%201160,https://catalog.northeastern.edu/course-descriptions/pols/
POLS 3455,Russian Foreign Policy,POLS 1155,https://catalog.northeastern.edu/search/?P=POLS%201155,https://catalog.northeastern.edu/course-descriptions/pols/
POLS 3455,Russian Foreign Policy,POLS 1160,https://catalog.northeastern.edu/search/?P=POLS%201160,https://catalog.northeastern.edu/course-descriptions/pols/
POLS 3465,Government and Politics in the Middle East,POLS 1155,https://catalog.northeastern.edu/search/?P=POLS%201155,https://catalog.northeastern.edu/course-descriptions/pols/
POLS 3470,Arab-Israeli Conflict,ENGW 1102,https://catalog.northeastern.edu/search/?P=ENGW%201102,https://catalog.northeastern.edu/course-descriptions/pols/
POLS 3470,Arab-Israeli Conflict,ENGW 1111,https://catalog.northeastern.edu/search/?P=ENGW%201111,https://catalog.northeastern.edu/course-descriptions/pols/
POLS 3470,Arab-Israeli Conflict,ENGW 1113,https://catalog.northeastern.edu/search/?P=ENGW%201113,https://catalog.northeastern.edu/course-descriptions/pols/
POLS 3470,Arab-Israeli Conflict,ENGW 1114,https://catalog.northeastern.edu/search/?P=ENGW%201114,https://catalog.northeastern.edu/course-descriptions/pols/
POLS 3482,East Asian Politics,ASNS 1150,https://catalog.northeastern.edu/search/?P=ASNS%201150,https://catalog.northeastern.edu/course-descriptions/pols/
POLS 3482,East Asian Politics,POLS 1155,https://catalog.northeastern.edu/search/?P=POLS%201155,https://catalog.northeastern.edu/course-descriptions/pols/
POLS 3485,China: Governance and Foreign Policy,POLS 1155,https://catalog.northeastern.edu/search/?P=POLS%201155,https://catalog.northeastern.edu/course-descriptions/pols/
POLS 3487,Politics of Developing Nations,POLS 1155,https://catalog.northeastern.edu/search/?P=POLS%201155,https://catalog.northeastern.edu/course-descriptions/pols/
POLS 3487,Politics of Developing Nations,INTL 1101,https://catalog.northeastern.edu/search/?P=INTL%201101,https://catalog.northeastern.edu/course-descriptions/pols/
POLS 3500,"Sexuality, Gender, and the Law",,,https://catalog.northeastern.edu/course-descriptions/pols/
POLS 3990,Elective,,,https://catalog.northeastern.edu/course-descriptions/pols/
POLS 4500,U.S,POLS 1150,https://catalog.northeastern.edu/search/?P=POLS%201150,https://catalog.northeastern.edu/course-descriptions/pols/
POLS 4505,U.S,POLS 1150,https://catalog.northeastern.edu/search/?P=POLS%201150,https://catalog.northeastern.edu/course-descriptions/pols/
POLS 4701,Political Science Senior Capstone,,,https://catalog.northeastern.edu/course-descriptions/pols/
POLS 4703,Senior Thesis,,,https://catalog.northeastern.edu/course-descriptions/pols/
POLS 4910,Model United Nations,,,https://catalog.northeastern.edu/course-descriptions/pols/
POLS 4915,Model Arab League,,,https://catalog.northeastern.edu/course-descriptions/pols/
POLS 4918,Model NATO,,,https://catalog.northeastern.edu/course-descriptions/pols/
POLS 4937,Dialogue of Civilizations: Government and Politics Abroad,,,https://catalog.northeastern.edu/course-descriptions/pols/
POLS 4938,Dialogue of Civilizations: International Politics Abroad,,,https://catalog.northeastern.edu/course-descriptions/pols/
POLS 4942,Internship in Politics,,,https://catalog.northeastern.edu/course-descriptions/pols/
POLS 4970,Junior/Senior Honors Project 1,,,https://catalog.northeastern.edu/course-descriptions/pols/
POLS 4971,Junior/Senior Honors Project 2,POLS 4970,https://catalog.northeastern.edu/search/?P=POLS%204970,https://catalog.northeastern.edu/course-descriptions/pols/
POLS 4990,Elective,,,https://catalog.northeastern.edu/course-descriptions/pols/
POLS 4991,Research,,,https://catalog.northeastern.edu/course-descriptions/pols/
POLS 4992,Directed Study,,,https://catalog.northeastern.edu/course-descriptions/pols/
POLS 4996,Experiential Education Directed Study,,,https://catalog.northeastern.edu/course-descriptions/pols/
POLS 5408,International Security,POLS 1160,https://catalog.northeastern.edu/search/?P=POLS%201160,https://catalog.northeastern.edu/course-descriptions/pols/
POLS 5544,Seminar in Black Leadership,,,https://catalog.northeastern.edu/course-descriptions/pols/
POLS 5660,The Pandemic and the People: Lessons for American Democracy,,,https://catalog.northeastern.edu/course-descriptions/pols/
POLS 5976,Directed Study,,,https://catalog.northeastern.edu/course-descriptions/pols/
POLS 6954,Co-op Work Experience - Half-Time,,,https://catalog.northeastern.edu/course-descriptions/pols/
POLS 6955,Co-op Work Experience Abroad - Half Time,,,https://catalog.northeastern.edu/course-descriptions/pols/
POLS 6962,Elective,,,https://catalog.northeastern.edu/course-descriptions/pols/
POLS 6964,Co-op Work Experience,,,https://catalog.northeastern.edu/course-descriptions/pols/
POLS 6965,Co-op Work Experience Abroad,,,https://catalog.northeastern.edu/course-descriptions/pols/
POLS 7204,Seminar in Public Policy,,,https://catalog.northeastern.edu/course-descriptions/pols/
POLS 7205,Seminar in American Government and Politics,,,https://catalog.northeastern.edu/course-descriptions/pols/
POLS 7206,Seminar in Comparative Politics,,,https://catalog.northeastern.edu/course-descriptions/pols/
POLS 7207,Seminar in International Relations,,,https://catalog.northeastern.edu/course-descriptions/pols/
POLS 7255,American Political Parties and Elections,,,https://catalog.northeastern.edu/course-descriptions/pols/
POLS 7257,The U.S,,,https://catalog.northeastern.edu/course-descriptions/pols/
POLS 7325,Contemporary Issues in Third World Development,,,https://catalog.northeastern.edu/course-descriptions/pols/
POLS 7334,Social Networks,,,https://catalog.northeastern.edu/course-descriptions/pols/
POLS 7341,Security and Resilience Policy,,,https://catalog.northeastern.edu/course-descriptions/pols/
POLS 7343,Counterterrorism,,,https://catalog.northeastern.edu/course-descriptions/pols/
POLS 7344,"Hard Power, Soft Power, and Smart Power",,,https://catalog.northeastern.edu/course-descriptions/pols/
POLS 7346,Resilient Cities,,,https://catalog.northeastern.edu/course-descriptions/pols/
POLS 7362,Nationalism,,,https://catalog.northeastern.edu/course-descriptions/pols/
POLS 7366,Genocide in a Comparative Perspective,,,https://catalog.northeastern.edu/course-descriptions/pols/
